"ENV","Name1","BUAC","Can_Cover","NDVI","NDRE1","NDRE2","NWI1","NWI2","MTVI"
"Lind_2019_SP","BRUEHL",56.2824441757668,52.8317544782419,0.271109623355585,0.212773620384461,0.31878875427369,-0.0200313406220411,-0.0200313376983148,-0.00402593724756323
"Lind_2019_SP","Jasper",53.8130594434083,48.3846027527507,0.273776785809457,0.220164736871222,0.319870747612652,-0.0105087988924696,-0.0105087967458267,-0.00354814927536125
"Lind_2019_SP","Madsen",49.6133570040512,42.195259977553,0.273465082917057,0.228596287959582,0.325717945129121,-0.0181425834959153,-0.0181425799547308,-0.00466547268054869
"Lind_2019_SP","OTTO",51.1732916067136,43.136870256019,0.269949080381789,0.232559463976204,0.334368519020448,-0.0216822823089898,-0.0216822787226491,-0.00536334353100046
"Lind_2019_SP","Puma",52.2950201138371,44.7230091916963,0.276919626267812,0.22675409948449,0.327854403647732,-0.0108590528190764,-0.0108590502822029,-0.00444329366190082
"Lind_2019_SP","SWW13013-B-B-B-1",59.1993084070151,51.8067394963589,0.27702506041523,0.214645551480808,0.316205758369596,-0.0187274266935167,-0.018727422557394,-0.00330605677915117
"Lind_2019_SP","SWW13018-B-B-B-1",52.9059468546074,49.268805518688,0.274871252908349,0.222462266301136,0.322634664438302,-0.011738788421483,-0.0117387849804086,-0.00432960608193343
"Lind_2019_SP","SWW13018-B-B-B-2",55.3687997690035,46.810459817175,0.271608629193695,0.224973305926366,0.324725514194569,-0.0115994757786562,-0.0115994723147833,-0.0047026916430651
"Lind_2019_SP","SWW13018-B-B-B-3",54.897918012865,48.293883327603,0.272190434393655,0.221849083761823,0.321269198879706,-0.0154386444070488,-0.0154386412281322,-0.00433511725597573
"Lind_2019_SP","SWW13019-B-B-B-1",54.1563856863251,49.6619551967889,0.277956718214527,0.217265233340465,0.319033719052886,-0.0154090995505852,-0.0154090960462427,-0.00347891401672265
"Lind_2019_SP","SWW13019-B-B-B-2",51.8371337653188,48.3300858786511,0.272810163466181,0.221377490587407,0.322663533891407,-0.0179431598649449,-0.0179431565129473,-0.00419376333570556
"Lind_2019_SP","SWW13019-B-B-B-3",52.1433045958923,49.4057848017775,0.272797749340903,0.222375723874404,0.32286988544227,-0.0161510585386615,-0.016151055618805,-0.00429022494881468
"Lind_2019_SP","SWW13019-B-B-B-4",50.0777225216403,47.1583142109146,0.273111682423754,0.222999304261385,0.323707460622274,-0.0165665808564547,-0.0165665764928753,-0.00435352632041259
"Lind_2019_SP","SWW13021-B-1-B-1",55.3757188316156,51.4867992545457,0.271771174796633,0.216478512737579,0.317897635098233,-0.0222512936570192,-0.0222512902560042,-0.00394791487077677
"Lind_2019_SP","SWW13021-B-1-B-2",52.3692816006054,52.337077808024,0.272200098863276,0.223708296567097,0.323201535191751,-0.0167316383837905,-0.016731634787839,-0.00463561605447317
"Lind_2019_SP","SWW13027-B-1-B-1",52.0934842927999,44.840402898684,0.274046508078851,0.230650196902608,0.328738450882484,-0.0152234819763945,-0.0152234796591147,-0.00466863183859506
"Lind_2019_SP","SWW13027-B-1-B-2",50.646597948505,44.6512272204321,0.271357961506581,0.233700185117796,0.33025690665341,-0.0138681337718996,-0.0138681299332296,-0.00488410441169627
"Lind_2019_SP","SWW13027-B-1-B-3",55.0264840237259,47.7826005699853,0.275783118832514,0.231393338992647,0.327733377118048,-0.0155936453313304,-0.0155936414444047,-0.00496755355012471
"Lind_2019_SP","SWW13027-B-1-B-4",52.2474003049005,48.6983979138039,0.276095990251663,0.223551374920775,0.322936040805243,-0.0195384057122347,-0.0195384027718269,-0.0044066371517549
"Lind_2019_SP","SWW13029-B-1-B-1",55.6360526062659,52.7108296264151,0.2752366255274,0.213076791437148,0.316480333823888,-0.0186888809896932,-0.0186888770352171,-0.00341617487051289
"Lind_2019_SP","SWW13029-B-1-B-2",55.7522129959146,52.2034648840527,0.274857134840126,0.213682501468532,0.316849624740756,-0.0174026519337837,-0.0174026479084566,-0.00348245308205645
"Lind_2019_SP","SWW13034-B-1-B-1",54.4173409527307,47.3931441646884,0.270567929822784,0.223234081211008,0.323105727802584,-0.0169464835753532,-0.0169464799864965,-0.00448631464608964
"Lind_2019_SP","SWW13035-B-1-B-1",54.1558555102029,48.310241627635,0.273615578778577,0.225341660062729,0.324326717651033,-0.0161689738287082,-0.0161689711557203,-0.00457013479243043
"Lind_2019_SP","SWW13037-B-B-B-1",52.9124756817071,44.740175514901,0.271171221379079,0.232656861751711,0.329192424333759,-0.0166607040596634,-0.0166607009996786,-0.00503634401961473
"Lind_2019_SP","SWW13038-B-1-B-1",54.5171406854833,44.6691483248046,0.273821067391642,0.229986955808072,0.327582110897684,-0.0202411260576113,-0.0202411230561938,-0.00465342681490418
"Lind_2019_SP","SWW13039-B-1-B-1",52.3113889260958,47.8578101262056,0.272489772507221,0.227821229121718,0.327100321874562,-0.0134652921112476,-0.013465288025695,-0.00477306006493008
"Lind_2019_SP","SWW13040-B-1-B-1",56.9211141583089,50.5536868679081,0.274515741261491,0.217724417489438,0.318466559966023,-0.0207428350804277,-0.0207428315951967,-0.00406481495477841
"Lind_2019_SP","SWW13040-B-1-B-2",52.4767707828954,46.7590128203516,0.274815724341039,0.226912029473092,0.324743142275984,-0.0229272957878009,-0.0229272914553333,-0.00467483843942618
"Lind_2019_SP","SWW13041-B-B-B-1",57.7857102467549,48.486593491603,0.278226843063731,0.223729720751591,0.323528452085016,-0.0214552374837672,-0.0214552337378573,-0.00442741954503708
